raw_text,hasil_preprocessing,text_length
"@hoteliercrypto Ngeri nta demo buruh menuntut upah naik karena harga2 naek. 

Padahal

Harga naek karena tahu UMR bakal naek

Ular mengejar ekornya",ngeri nta demo buruh menuntut upah naik harga2 naek harga naek umr naek ular mengejar ekornya,16
Yang bikin lebih parah? Hardware-nya pun kena. China masih jadi pusat utama manufaktur ASIC miner dan GPU buat mining Bitcoin. Tarif elektronik naik = biaya mining meledak = tekanan tambahan ke harga BTC.,bikin parah hardware kena china masih pusat utama manufaktur asic miner gpu mining bitcoin tarif elektronik naik biaya mining meledak tekan tambah harga btc,24
@coffeedoux in this rupiah yg melemah ini semua ga keliatan murah,this rupiah melemah keliatan_negated murah,5
"5,61 Persen dan Rupiah Rp17.400: Ketika Pertumbuhan Ekonomi Tidak Lagi Terasa di Kehidupan Rakyat.

“Dan hari ini, rupiah sdg mengatakan sesuatu yg tdk bisa disembunyikan oleh statistik mana pun. Ada sesuatu yang terasa janggal dlm pekan pertama Mei 2026”

https://t.co/qLKCzUfR2s https://t.co/wM2BifgrQY",persen rupiah pertumbuhan ekonomi tidak kehidup rakyat hari rupiah sdg bisa_negated disembunyi statistik janggal pekan mei,16
Berikut adalah dampak dari melemahnya rupiah:,dampak melemahnya rupiah,3
"@nicvin141 @yappingfess terlambat banget kak, baru bangun? sekarang trending topiknya rupiah melemah.",terlambat bangun trending topiknya rupiah melemah,6
"@arblunaaaaa Awalnya gua ditelpon bpk grabcar ditanya2 lah bawa brg byk ga, blabla.. dan ujung2nya nego harga. Dil tuh masalah harga, pas udh naik kaca tengah dibuka, wah feelling gua udh gaenak, eh bener dong… kaca dibuka ac kaga dinyalain pdhl itu jaraknya lumayan loh",ditelpon bpk grabcar ditanya2 bawa brg byk blabla_negated ujung2nya nego harga dil harga pas sudah naik kaca dibuka feelling sudah gaenak bener kaca dibuka kaga dinyalain pdhl jaraknya lumay,29
"Kenaikan harga minyak dunia mendorong harga plastik naik dan membebani pelaku UMKM. Pelaku usaha pun dihadapkan pada dilema, menaikkan harga atau bertahan dengan keuntungan yang menipis. Kemasan ramah lingkungan mulai dilirik sebagai alternatif, seiring harganya yang kian kompetitif.

Selengkapnya, saksikan #60MenitSpecialReport episode “HARGA PLASTIK NAIK DRASTIS, PENDAPATAN TERKIKIS”, hari ini pkl 17.30 WIB, di @KompasTV! 

📺: https://t.co/NDSWXweQ6n",kenaikan harga minyak dunia mendorong harga plastik naik membeban pelaku umkm pelaku usaha dihadap dilema menaik harga bertah keuntung menipis kemas ramah lingkung dilirik alternatif seiring harganya kian kompetitif saksi milyaranenitspecialreport episode harga plastik naik drastis pendapat terkikis hari pkl wib kompastv,42
"@eufrasiart Bisnis umkm, jualan peelengkaoan rumah tangga dan pecah belah dipasar raya 1 salatiga. Namanya kios buning. Ini usaha mertua yang sekarang aku dan suami yang kelola. Karen kondisi ekonomi yang lagi down, harga barang2 naik, pembeli lesu. Makin sepi, gak ada orang ke pasar 🥹 https://t.co/phgMzbGblz",bisnis umkm jualan peelengkao rumah tangga pecah belah dipasar raya salatiga namanya kios buning usaha mertua suami kelola karen kondisi ekonomi down harga barang2 naik pembel lesu sepi tidak orang pasar,31
"Funfact dari interview ini, Jadi di drama Double Helix si peran Lu feng kepilih duluan trs pas peran xiaochen udah dapet timnya ngubungin ayden dan ayden langsung terbang dari SIN (krn dia tinggal di Singapura) ke PEK cuma buat liat Sitong 😭
Total cost dia wara wiri 200jt rupiah https://t.co/c61qwveUST",funfact interview drama double helix peran feng kepilih duluan pas peran xiaochen dapet timnya ngubungin ayden langsung terbang sin tinggal singapura pek liat sitong sedih total cost wara wiri jutaan rupiah,31
@hxxguu_ @Txtdariiugm gw ga bilang hancur apa engga? kan point nya sekarang rupiah di titik terendah lebih rendah daripada krismon bukan krismon terjadi lagi? kok lo baru paham? banyakin protein intake please 🤭,bilang_negated hancur engga point rupiah titik terendah rendah krismon krismon_negated paham banyakin protein intake please,15
"@alif_haidar Xpela uncle, driver grab ni makan pasir jaa, yg mkn nasik pengguna ja..sbb tu fare kena letak harga x bermaruah..tu belum kira bangla/indon naik smp 4 org dgn fare rm5",xpela uncle driver grab makan pasir jaa mkn nasik pengguna sbb fare kena letak harga bermaruah belum bangla indon naik smp orang fare rm5,24
"@ayeejuju 10 million IN WHATEVER YOUR CURRENCY? 😭

10 million rupiah and I can spend it all in an hour. Won’t even cover an iphone. Please.",million whatever your currency sedih million rupiah can spend all hour won triliun even cover iphone please,17
@Wornbin @Tapestria udah 300miliar juta rupiah bff 😭,milyaraniliar juta rupiah bff sedih,5
@Silverdarkstone kebanyakan merch sm ini trus rupiah kita juga melemah😭,kebanya merch trus rupiah melemah sedih,6
"dengan berberat hati, karena naik harga percetakan 1 tempat favorit ini, gweh ganti tempat percetakan baru, makasih sudah menemani gweh dan 13 desain sebelumnya 😭",berberat hati naik harga perceta favorit gweh ganti perceta makasih sudah meneman gweh desain sedih,15
"Harga Solar Naik, Simak Daftar Harga Mobil Bekas Innova Reborn Diesel
https://t.co/slQJknvmJz",harga solar naik simak daftar harga mobil bekas innova reborn diesel,11
@min9u_kk nabung pake emas aja bubbb nnti tkutnya rupiah makin melemah loh🥲,nabung pake emas bubbb nnti tkutnya rupiah melemah,8
WOILAH HARGA CETJIPITI DI MAKER NAIK BGT ANCRITTTT,woilah harga cetjipit maker naik ancritttt,6
@mangutpedes Wow... Mau pulang naik apa? Karpet terbang? Pasti harga ojol melambung ngalahin joki skripsi,wow pulang naik karpet terbang harga ojol melambung ngalahin joki skrips,11
"🔮: ""mama masa harga di gojek naik""
👩🏻‍🦳: ""ya namany nyari untung, kamu makan aja makan siang udah belom?""
🔮: ""belom makan sih""
👩🏻‍🦳: ""UDAH LAH BELI AJA MAMA KASIH DUIT BANYAK BUAT KAMU MAKAN GAUSAH MIKIR2 HARGA 😡😡""

Maaf ma pt 2....",mama harga gojek naik namany nyari untung makan siang belum_negated belum makan beli mama kasih duit makan gausah mikir2 harga marah maaf,22
"@ankityadav10101 Looks like you only got this document in AI error ! May be he send to you only, a 2 rupiah bot account right?",looks like you only got this document error may send you only rupiah bot account right,16
